,team1,team2,games
789,Duke,Georgia Tech,90
790,Duke,Houston,0
791,Duke,Illinois,2
792,Duke,Indiana,4
793,Duke,Iowa,0
794,Duke,Iowa State,0
795,Duke,Kansas,4
796,Duke,Kansas State,0
797,Duke,Kentucky,4
798,Duke,Louisville,4
799,Duke,LSU,2
800,Duke,Maryland,50
801,Duke,Miami,20
802,Duke,Michigan,6
803,Duke,Michigan State,0
804,Duke,Minnesota,0
805,Duke,Mississippi State,0
806,Duke,Missouri,1
807,Duke,NC State,84
808,Duke,Nebraska,1
809,Duke,North Carolina,103
810,Duke,Northwestern,23
811,Duke,Ohio State,4
812,Duke,Oklahoma,1
813,Duke,Oklahoma State,0
814,Duke,Ole Miss,0
815,Duke,Oregon,0
816,Duke,Oregon State,1
817,Duke,Penn State,0
818,Duke,Pittsburgh,27
819,Duke,Purdue,4
820,Duke,Rutgers,4
821,Duke,South Carolina,44
822,Duke,Stanford,4
823,Duke,Syracuse,5
824,Duke,TCU,0
825,Duke,Tennessee,28
826,Duke,Texas,0
827,Duke,Texas A&M,1
828,Duke,Texas Tech,1
829,Duke,UCF,1
830,Duke,UCLA,1
831,Duke,USC,3
832,Duke,Utah,0
833,Duke,Vanderbilt,11
834,Duke,Virginia,72
835,Duke,Virginia Tech,30
836,Duke,Wake Forest,100
837,Duke,Washington,2
838,Duke,Washington State,0
839,Duke,West Virginia,4
840,Duke,Wisconsin,1
841,Duke,Notre Dame,8
842,Duke,Connecticut,3
843,Duke,SMU,2
844,Duke,Tulane,5
845,Florida,Florida State,68
846,Florida,Georgia,102
847,Florida,Georgia Tech,39
848,Florida,Houston,4
849,Florida,Illinois,2
850,Florida,Indiana,1
851,Florida,Iowa,4
852,Florida,Iowa State,0
853,Florida,Kansas,0
854,Florida,Kansas State,2
855,Florida,Kentucky,74
856,Florida,Louisville,3
857,Florida,LSU,70
858,Florida,Maryland,18
859,Florida,Miami,56
860,Florida,Michigan,5
861,Florida,Michigan State,1
862,Florida,Minnesota,0
863,Florida,Mississippi State,55
864,Florida,Missouri,13
865,Florida,NC State,14
866,Florida,Nebraska,2
867,Florida,North Carolina,10
868,Florida,Northwestern,2
869,Florida,Ohio State,2
870,Florida,Oklahoma,2
871,Florida,Oklahoma State,1
872,Florida,Ole Miss,25
873,Florida,Oregon,1
874,Florida,Oregon State,1
875,Florida,Penn State,3
876,Florida,Pittsburgh,1
877,Florida,Purdue,0
878,Florida,Rutgers,2
879,Florida,South Carolina,44
880,Florida,Stanford,0
881,Florida,Syracuse,4
882,Florida,TCU,0
883,Florida,Tennessee,53
884,Florida,Texas,3
885,Florida,Texas A&M,6
886,Florida,Texas Tech,0
887,Florida,UCF,3
888,Florida,UCLA,5
889,Florida,USC,2
890,Florida,Utah,3
891,Florida,Vanderbilt,57
892,Florida,Virginia,2
893,Florida,Virginia Tech,2
894,Florida,Wake Forest,4
895,Florida,Washington,1
896,Florida,Washington State,0
897,Florida,West Virginia,2
898,Florida,Wisconsin,0
899,Florida,Notre Dame,1
900,Florida,Connecticut,0
901,Florida,SMU,4
902,Florida,Tulane,21
903,Florida State,Georgia,12
904,Florida State,Georgia Tech,29
905,Florida State,Houston,17
906,Florida State,Illinois,0
907,Florida State,Indiana,1
908,Florida State,Iowa,0
909,Florida State,Iowa State,2
910,Florida State,Kansas,7
911,Florida State,Kansas State,3
912,Florida State,Kentucky,6
913,Florida State,Louisville,22
914,Florida State,LSU,11
915,Florida State,Maryland,24
916,Florida State,Miami,68
917,Florida State,Michigan,3
918,Florida State,Michigan State,2
919,Florida State,Minnesota,0
920,Florida State,Mississippi State,9
921,Florida State,Missouri,0
922,Florida State,NC State,43
923,Florida State,Nebraska,8
924,Florida State,North Carolina,21
925,Florida State,Northwestern,0
926,Florida State,Ohio State,3
927,Florida State,Oklahoma,8
928,Florida State,Oklahoma State,5
929,Florida State,Ole Miss,2
930,Florida State,Oregon,1
931,Florida State,Oregon State,0
932,Florida State,Penn State,3
933,Florida State,Pittsburgh,11
934,Florida State,Purdue,0
935,Florida State,Rutgers,0
936,Florida State,South Carolina,19
937,Florida State,Stanford,0
938,Florida State,Syracuse,16
939,Florida State,TCU,3
940,Florida State,Tennessee,2
941,Florida State,Texas,0
